Pos,Club,P,W,D,L,F,A,GD,Pts,Stadium,Town / City,Capacity
1,Brighton,2,2,0,0,8,2,6,6,Falmer Stadium,Brighton,"30,750"
2,Man City,2,2,0,0,4,0,4,6,Etihad Stadium,Manchester,"55,097"
3,Arsenal,2,2,0,0,3,1,2,6,Emirates Stadium,London,"60,704"
4,Brentford,2,1,1,0,5,2,3,4,Gtech Community Stadium,London,"17,500"
5,Liverpool,2,1,1,0,4,2,2,4,Anfield,Liverpool,"54,074"
6,Tottenham,2,1,1,0,4,2,2,4,Tottenham Hotspur Stadium,London,"62,062"
7,West Ham,2,1,1,0,4,2,2,4,London Stadium,London,"62,500"
8,Newcastle,2,1,0,1,5,2,3,3,St James' Park,Newcastle upon Tyne,"52,338"
9,Aston Villa,2,1,0,1,5,5,0,3,Villa Park,Birmingham,"42,660"
10,Nottm Forest,2,1,0,1,3,3,0,3,City Ground,Nottingham,"30,576"
11,Crystal Palace,2,1,0,1,1,1,0,3,Selhurst Park,London,26074
12,Man Utd,2,1,0,1,1,2,-1,3,Old Trafford,Manchester,"75,653"
13,Fulham,2,1,0,1,1,3,-2,3,Craven Cottage,London,"25,678"
14,Bournemouth,2,0,1,1,2,4,-2,1,Dean Court,Bournemouth,"11,464"
15,Chelsea,2,0,1,1,2,4,-2,1,Stamford Bridge,London,"41,798"
16,Sheff Utd,2,0,0,2,1,3,-2,0,Bramall Lane,Sheffield,"32,702"
17,Luton,1,0,0,1,1,4,-3,0,Kenilworth Road,Luton,"10,356"
18,Burnley,1,0,0,1,0,3,-3,0,Turf Moor,Burnley,"21,401"
19,Wolves,2,0,0,2,1,5,-4,0,Molineux,Wolverhampton,"31,700"
20,Everton,2,0,0,2,0,5,-5,0,Goodison Park,Liverpool,"39,571"
